block,norm_vX_tilde,norm_vE_decided,norm_vRHS,norm_Fwm_bm,norm_residual,blockErr,coherence
184,2120.6723855607393,1970.0238125768701,1264.2701286518773,64.25271826599615,1260.690883607787,1589341.504011783,0.12495635853788556
185,2120.6723855607393,1967.2152347124634,1260.6908836077869,81.6105139644122,1253.548151300639,1571382.9676292494,0.08797349481117324
186,2120.6723855607393,1975.41487163815,1253.5481513006387,104.01932541245452,1240.813717554073,1539618.6816703589,0.08058571961866703
187,2120.6723855607393,1992.0369327419085,1240.813717554073,146.171533449401,1221.7872530346317,1492764.091677911,0.11971133639360451
188,2120.6723855607393,2015.585867058282,1221.7872530346317,146.17153344940107,1203.4443911348294,1448278.4025538804,0.13101688745890347
189,2120.6723855607393,2029.3877258784446,1203.4443911348294,125.20159942451511,1193.9572271940388,1425533.8603688774,0.08198400035012418
190,2120.6723855607393,2031.9246204380304,1193.9572271940385,19.888709661694268,1193.024448475519,1423307.3346603161,0.0371235437477533
191,2120.6723855607393,2035.4218993846387,1193.024448475519,25.035130015885727,1192.5439426672458,1422161.0551923392,0.040992526251499684
192,2120.6723855607393,2035.2525433562066,1192.5439426672458,15.695363988519107,1192.0059439154988,1420878.1703298793,0.034023520717012694
193,2120.6723855607393,2039.3639604938917,1192.005943915499,35.09524063625104,1191.5735089842115,1419847.4273129466,0.03873914934178193
194,2120.6723855607393,2038.7077335736758,1191.5735089842115,32.46189021103028,1190.2892498967526,1416788.498419774,0.0793761410107698
195,2120.6723855607393,2040.3662638771386,1190.2892498967526,40.89440481576148,1185.7878388198653,1406092.798693087,0.0663590665264456
196,2120.6723855607393,2046.2679268926108,1185.7878388198656,103.20772139418955,1175.5567353466436,1381933.6380188586,0.10407413511410933
197,2120.6723855607393,2065.423440497004,1175.5567353466436,125.20159942451512,1163.4054793854143,1353512.3094640058,0.09102877186432735
198,2120.6723855607393,2075.7725265932627,1163.405479385414,82.89930274041436,1158.1181886376592,1341237.7388533726,0.03514475668467323
199,2120.6723855607393,2079.5437688674015,1158.1181886376594,28.81971114353215,1154.7675018224957,1333487.9832653676,0.016910025064278723
200,2120.6723855607393,2088.1079715770284,1154.7675018224957,81.61051396441222,1145.6077264605851,1312417.062926191,0.007451099681545828
201,2120.6723855607393,2103.771496223048,1145.6077264605851,125.20159942451515,1134.0555527102047,1286081.9966328477,0.026515250336637482
202,2120.6723855607393,2105.2655347392265,1134.0555527102047,82.38772110367226,1129.3579177029744,1275449.3062783983,0.04790476911944555
203,2120.6723855607393,2105.701861993441,1129.3579177029744,26.6120390523646,1128.246215434302,1272939.5226418255,0.05487949398156933
204,2120.6723855607393,2106.303064675271,1128.2462154343018,40.89440481576145,1127.5309190796077,1271325.9734805047,0.060463020018784175
205,2120.6723855607393,2110.116411438356,1127.5309190796077,32.461890211030266,1126.2642942486752,1268471.2604994664,0.0526355005407701
206,2120.6723855607393,2114.1833957405374,1126.2642942486752,40.894404815761455,1123.0790691367301,1261306.5955330243,0.06704959237002754
207,2120.6723855607393,2122.386014934058,1123.0790691367301,64.99293089955434,1118.959628866824,1252070.6510337805,0.033579574343176384
208,2120.6723855607393,2129.07524942726,1118.9596288668238,42.459630471127646,1117.6674801207835,1249180.596119542,0.12875806066354586
209,2120.6723855607393,2131.9435620785134,1117.6674801207832,40.894404815761426,1114.0568200337996,1241122.5982638216,0.14939850982645758
210,2120.6723855607393,2142.155579251815,1114.0568200337996,81.61051396441228,1105.072030587804,1221184.1927874524,0.11648172243635328
211,2120.6723855607393,2156.557133776184,1105.0720305878037,103.20772139418953,1090.6866404922712,1189597.3477483168,0.15717423903309963
212,2120.6723855607393,2164.3515815365154,1090.6866404922712,125.2015994245151,1073.7439578554581,1152926.087031104,0.1436194672221075
213,2120.6723855607393,2167.9678574119894,1073.7439578554581,121.7028258714942,1064.157172208556,1132430.4871629102,0.07908860501546541
214,2120.6723855607393,2166.4368444494053,1064.157172208556,37.57056546662872,1063.2075293122443,1130410.250386247,0.02553455382167556
215,2120.6723855607393,2166.867492368537,1063.2075293122443,15.695363988519127,1062.856521311879,1129663.9848951888,0.022672849697274608
